time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-29T03:09:39.450Z,33.967,-117.8468333,0.98,1.42,ml,10,114,0.1942,0.23,ci,ci39364119,2020-08-29T03:13:34.181Z,"6km E of Rowland Heights, CA",earthquake,0.89,31.61,0.474,22,automatic,ci,ci
2020-08-29T02:57:55.614Z,59.9761,-152.4541,79.1,0.6,ml,,,,0.14,ak,ak020b49l6tl,2020-08-29T03:02:22.124Z,"40 km W of Happy Valley, Alaska",earthquake,,1.7,,,automatic,ak,ak
2020-08-29T02:54:55.676Z,62.2158,-153.2858,0.1,1.6,ml,,,,1,ak,ak020b49kjof,2020-08-29T03:00:11.383Z,"101 km WNW of Skwentna, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-29T02:50:07.530Z,38.1502,-117.946,14.8,1.6,ml,19,70.14,0.007,0.11,nn,nn00770558,2020-08-29T03:07:59.842Z,"30 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-08-29T02:43:08.040Z,38.1435,-117.8598,7.4,1.4,ml,13,82.34,0.031,0.03,nn,nn00770555,2020-08-29T02:50:59.539Z,"35 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-08-29T02:36:25.338Z,67.3599,-156.3602,0,2,ml,,,,0.81,ak,ak020b49gmg5,2020-08-29T02:46:58.839Z,"55 km NNE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-29T02:25:00.280Z,38.8246651,-122.8034973,2.5,0.55,md,12,73,0.005291,0.01,nc,nc73450891,2020-08-29T02:44:03.740Z,"7km NW of The Geysers, CA",earthquake,0.43,0.83,,1,automatic,nc,nc
2020-08-29T02:19:52.060Z,19.41650009,-155.2810059,-0.170000002,1.87,ml,14,97,,0.100000001,hv,hv72109561,2020-08-29T02:25:46.750Z,"5 km WSW of Volcano, Hawaii",earthquake,0.18,0.150000006,0.38,6,automatic,hv,hv
2020-08-29T02:19:05.130Z,19.42149925,-155.2776642,0.310000002,1.81,ml,12,65,,0.150000006,hv,hv72109556,2020-08-29T02:25:40.740Z,"5 km WSW of Volcano, Hawaii",earthquake,0.26,0.239999995,0.39,5,automatic,hv,hv
2020-08-29T02:19:02.230Z,38.8071671,-122.7959976,1.22,1.02,md,25,40,0.0009665,0.02,nc,nc73450886,2020-08-29T02:33:06.684Z,"5km NW of The Geysers, CA",earthquake,0.17,0.31,0.19,4,automatic,nc,nc
2020-08-29T02:13:57.640Z,34.1333333,-116.8438333,24.24,0.98,ml,9,137,0.08606,0.17,ci,ci39364103,2020-08-29T02:17:34.836Z,"14km SSE of Big Bear Lake, CA",earthquake,1.03,1.7,0.171,10,automatic,ci,ci
2020-08-29T02:01:12.320Z,38.8095016,-122.8176651,1.98,0.55,md,6,104,0.009017,0.01,nc,nc73450876,2020-08-29T02:16:04.595Z,"6km NW of The Geysers, CA",earthquake,0.6,1.1,,1,automatic,nc,nc
2020-08-29T01:31:28.350Z,38.7786674,-122.7231674,1.61,0.73,md,10,93,0.01154,0.04,nc,nc73450871,2020-08-29T01:46:05.399Z,"3km W of Anderson Springs, CA",earthquake,0.52,1.15,0.25,3,automatic,nc,nc
2020-08-29T01:26:10.114Z,62.5865,-151.3289,25.1,2,ml,,,,0.67,ak,ak020b48t0hx,2020-08-29T02:05:31.452Z,"30 km WNW of Petersville, Alaska",earthquake,,3.8,,,automatic,ak,ak
2020-08-29T01:19:37.039Z,67.3518,-156.3703,0,2.1,ml,,,,0.67,ak,ak020b48rkj8,2020-08-29T01:33:15.889Z,"54 km NNE of Kobuk, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-29T01:14:23.928Z,67.3521,-156.3884,0,2.6,ml,,,,1.4,ak,ak020b48qgzc,2020-08-29T01:30:24.775Z,"54 km NNE of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-29T01:12:13.317Z,67.3563,-156.3117,0,3.4,ml,,,,0.61,ak,ak020b48q0nq,2020-08-29T01:24:43.567Z,"55 km NNE of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-29T00:50:59.860Z,38.166,-117.9808,0.1,1.1,ml,8,160.97,0.03,0.04,nn,nn00770548,2020-08-29T01:00:10.242Z,"27 km SSE of Mina, Nevada",earthquake,,0.3,,,automatic,nn,nn
2020-08-29T00:42:04.190Z,38.2047,-117.7465,10.9,1.4,ml,18,123.03,0.114,0.07,nn,nn00770545,2020-08-29T00:52:31.185Z,"37 km ESE of Mina, Nevada",earthquake,,1.4,,,automatic,nn,nn
2020-08-29T00:19:07.350Z,38.8376656,-122.8373337,3.06,0.57,md,8,116,0.001712,0.25,nc,nc73450861,2020-08-29T00:45:06.962Z,"10km NW of The Geysers, CA",earthquake,1.78,3.1,,1,automatic,nc,nc
2020-08-29T00:18:28.116Z,39.6585,20.3084,10,4.5,mwr,,42,0.398,0.88,us,us7000ben2,2020-08-29T00:53:03.858Z,"6 km N of Filiátes, Greece",earthquake,6.1,1.9,0.08,15,reviewed,us,us
2020-08-29T00:18:17.150Z,35.9638329,-120.5195007,9.95,1.12,md,18,84,0.02042,0.06,nc,nc73450856,2020-08-29T04:09:06.265Z,"11km NW of Parkfield, CA",earthquake,0.44,0.64,0.05,5,automatic,nc,nc
2020-08-29T00:18:11.760Z,33.7113333,-116.7245,16.72,0.89,ml,34,35,0.008615,0.2,ci,ci39364039,2020-08-29T00:21:38.113Z,"3km S of Idyllwild, CA",earthquake,0.28,0.5,0.209,29,automatic,ci,ci
2020-08-29T00:11:38.543Z,58.235,-154.7991,91.7,2.3,ml,,,,0.37,ak,ak020b484fcw,2020-08-29T00:51:29.040Z,"76 km NNW of Karluk, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-29T00:11:00.746Z,61.348,-150.122,37.7,1.5,ml,,,,0.71,ak,ak020b484cfu,2020-08-29T00:17:51.661Z,"7 km W of Point MacKenzie, Alaska",earthquake,,13.2,,,automatic,ak,ak
2020-08-29T00:09:18.470Z,38.186,-117.7885,7.4,1.7,ml,15,63.2,0.061,0.14,nn,nn00770540,2020-08-29T00:18:58.411Z,"36 km SE of Mina, Nevada",earthquake,,2.1,,,automatic,nn,nn
2020-08-28T23:59:41.870Z,38.1427,-117.8645,11.6,1.3,ml,13,85.63,0.022,0.13,nn,nn00770536,2020-08-29T00:09:32.215Z,"34 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-08-28T23:46:08.760Z,35.9748333,-117.3176667,2.47,0.58,ml,9,197,0.08823,0.13,ci,ci39364007,2020-08-29T00:18:20.132Z,"24km NNE of Trona, CA",earthquake,0.43,0.76,0.097,6,reviewed,ci,ci
2020-08-28T23:46:00.880Z,19.42700005,-155.2734985,-0.310000002,1.85,ml,13,107,,0.129999995,hv,hv72109316,2020-08-28T23:51:30.480Z,"4 km WSW of Volcano, Hawaii",earthquake,0.19,0.209999993,0.29,7,automatic,hv,hv
2020-08-28T23:34:20.260Z,38.1532,-117.8127,9.2,0.9,ml,10,150.73,0.054,0.02,nn,nn00770533,2020-08-29T00:00:55.880Z,"36 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-08-28T23:32:13.941Z,36.97386932,-98.02283478,5.533517361,1.81,ml,12,139.6652403,0.178986505,0.399776742,ok,ok2020qyhi,2020-08-28T23:34:53.374Z,"2 km SSE of Manchester, Oklahoma",earthquake,4.34330675,4.190500721,,10,automatic,ok,ok
2020-08-28T23:31:22.400Z,38.2032,-117.8582,4.8,0.9,ml,14,120.18,0.033,0.15,nn,nn00770528,2020-08-28T23:35:53.859Z,"30 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-08-28T22:55:58.800Z,38.1315,-118.0253,0.1,0.9,ml,8,146.56,0.057,0.33,nn,nn00770526,2020-08-28T23:22:53.317Z,"29 km SSE of Mina, Nevada",earthquake,,14.6,,,automatic,nn,nn
2020-08-28T22:52:44.830Z,38.1508,-118.0333,2.1,1,ml,12,146.66,0.021,0.12,nn,nn00770524,2020-08-28T22:57:53.721Z,"27 km SSE of Mina, Nevada",earthquake,,12.2,,,automatic,nn,nn
2020-08-28T22:44:07.900Z,35.7315,-117.5311667,6.28,0.34,ml,9,140,0.09988,0.1,ci,ci39363975,2020-08-29T00:03:58.380Z,"12km WSW of Searles Valley, CA",earthquake,0.46,0.97,0.211,5,reviewed,ci,ci
2020-08-28T22:43:44.060Z,38.1419,-117.9733,11.2,2.3,ml,26,100.71,0.011,0.1456,nn,nn00770520,2020-08-29T02:34:51.040Z,"30 km SSE of Mina, Nevada",earthquake,,0.6,0.45,15,reviewed,nn,nn
2020-08-28T22:42:56.300Z,46.85366667,-121.7618333,1.25,0.12,ml,12,73,0.02154,0.07,uw,uw61665267,2020-08-29T00:58:04.570Z,"23 km ENE of Ashford, Washington",earthquake,0.31,0.55,0.134510939,6,reviewed,uw,uw
2020-08-28T22:38:00.540Z,36.0253334,-120.5856705,3.47,1.69,md,18,122,0.04283,0.03,nc,nc73450821,2020-08-28T23:27:05.438Z,"20km NW of Parkfield, CA",earthquake,0.32,0.66,0.12,8,automatic,nc,nc
2020-08-28T22:26:13.630Z,38.8101654,-122.8026657,1.67,1.02,md,26,39,0.006157,0.03,nc,nc73450816,2020-08-28T22:27:49.220Z,"5km NW of The Geysers, CA",earthquake,0.17,0.32,0.08,5,automatic,nc,nc
2020-08-28T22:22:40.837Z,59.8067,-153.073,96.4,1.2,ml,,,,0.46,ak,ak020b2xqz83,2020-08-28T22:27:39.009Z,"58 km E of Pedro Bay, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-28T22:22:27.530Z,37.6318333,-118.8626667,5.74,1.38,md,14,129,0.01282,0.05,nc,nc71113104,2020-08-28T23:58:03.664Z,"10km E of Mammoth Lakes, CA",earthquake,0.57,0.79,0.252,13,reviewed,nc,nc
2020-08-28T22:22:19.170Z,37.6345,-118.8506667,7.03,1.76,md,23,62,0.01224,0.07,nc,nc73450811,2020-08-28T23:47:03.583Z,"11km E of Mammoth Lakes, CA",earthquake,0.42,0.34,0.296,20,reviewed,nc,nc
2020-08-28T22:21:42.330Z,38.0286674,-118.8128357,2.69,1.76,md,9,197,0.3292,0.06,nc,nc73450806,2020-08-28T23:01:05.401Z,"27km SE of Bodie, CA",earthquake,1.34,9.47,0.17,4,automatic,nc,nc
2020-08-28T22:15:20.430Z,31.5008333,-115.666,9.4,2.59,ml,10,100,0.1486,0.18,ci,ci39363943,2020-08-28T23:55:45.954Z,"89km ESE of Maneadero, B.C., MX",earthquake,0.29,31.61,0.142,39,reviewed,ci,ci
2020-08-28T22:13:43.740Z,38.8419991,-122.8391647,1.69,0.58,md,13,90,0.004455,0.01,nc,nc73450801,2020-08-28T22:51:06.203Z,"10km NW of The Geysers, CA",earthquake,0.24,0.48,0.38,2,automatic,nc,nc
2020-08-28T22:09:08.379Z,60.0105,-153.0302,116.5,1.6,ml,,,,0.54,ak,ak020b2xo4dh,2020-08-28T23:46:05.890Z,"65 km ENE of Pedro Bay, Alaska",earthquake,,0.2,,,reviewed,ak,ak
2020-08-28T22:04:13.480Z,19.22516632,-155.4013367,31.59000015,1.98000002,md,31,160,,0.119999997,hv,hv72109171,2020-08-28T22:07:28.010Z,"8 km ENE of Pāhala, Hawaii",earthquake,0.82,0.959999979,1.80999994,6,automatic,hv,hv
2020-08-28T21:53:43.560Z,38.8101654,-122.8209991,3.16,0.57,md,13,73,0.00652,0.02,nc,nc73450791,2020-08-28T22:24:03.031Z,"7km WNW of The Geysers, CA",earthquake,0.54,1.12,,2,automatic,nc,nc
2020-08-28T21:48:49.410Z,38.197,-117.9298,4,1.1,ml,13,97.72,0.022,0.06,nn,nn00770512,2020-08-28T22:22:53.388Z,Nevada,earthquake,,1,,,automatic,nn,nn
2020-08-28T21:35:08.250Z,35.8248333,-117.6695,7.34,0.8,ml,13,66,0.05921,0.12,ci,ci39363887,2020-08-28T22:10:33.011Z,"23km N of Ridgecrest, CA",earthquake,0.27,0.83,0.121,9,reviewed,ci,ci
2020-08-28T21:33:36.470Z,36.5690002,-121.0966644,11.24,1.38,md,8,154,0.04693,0.14,nc,nc73450786,2020-08-28T22:08:04.935Z,"6km NE of Pinnacles, CA",earthquake,1.97,4.3,0.29,6,automatic,nc,nc
2020-08-28T21:24:46.100Z,38.0985,-117.5792,20.1,1.2,ml,14,90.72,0.028,0.21,nn,nn00770510,2020-08-28T21:39:53.724Z,"30 km W of Tonopah, Nevada",earthquake,,5.1,,,automatic,nn,nn
2020-08-28T21:22:15.480Z,48.81416667,-123.7945,-0.31,0.71,ml,3,304,0.2551,0.26,uw,uw61665237,2020-08-29T00:00:05.450Z,Washington-British Columbia border region,explosion,2.72,31.61,0.040322228,2,reviewed,uw,uw
2020-08-28T21:16:02.950Z,18.978,-67.6803,3,3.14,md,16,238,0.7645,0.34,pr,pr2020241008,2020-08-28T22:15:47.040Z,"81 km NW of San Antonio, Puerto Rico",earthquake,2.29,2.05,0.13,14,reviewed,pr,pr
2020-08-28T21:14:43.274Z,60.2222,-140.9309,3,1.6,ml,,,,0.7,ak,ak020b2x3u2v,2020-08-28T21:26:37.404Z,"Southern Yukon Territory, Canada",earthquake,,0.4,,,automatic,ak,ak
2020-08-28T21:10:29.450Z,38.776001,-122.7251663,1.32,1.95,md,31,68,0.01157,0.06,nc,nc73450781,2020-08-29T00:47:03.975Z,"3km E of The Geysers, CA",earthquake,0.2,0.37,0.24,12,automatic,nc,nc
2020-08-28T21:07:41.790Z,37.4828333,-113.4761667,7.71,1.36,ml,11,78,0.1128,0.27,uu,uu60407387,2020-08-28T21:31:05.910Z,Utah,earthquake,0.67,1.06,0.117,3,reviewed,uu,uu
2020-08-28T21:06:49.340Z,38.8154984,-122.7446671,2.43,0.57,md,5,211,0.02475,0.01,nc,nc73450776,2020-08-28T21:08:22.688Z,"2km WSW of Cobb, CA",earthquake,1.43,2.42,,1,automatic,nc,nc
2020-08-28T20:59:14.965Z,67.5834,-159.1823,3.8,1.6,ml,,,,0.99,ak,ak020b2wrzij,2020-08-28T21:04:53.034Z,"79 km NW of Ambler, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-28T20:58:46.900Z,33.3648333,-116.9513333,6.53,0.84,ml,27,42,0.07155,0.18,ci,ci39363847,2020-08-28T23:31:28.804Z,"8km W of Palomar Observatory, CA",earthquake,0.22,0.56,0.107,20,reviewed,ci,ci
2020-08-28T20:49:02.620Z,46.53833333,-122.9606667,-0.26,1.28,ml,9,115,0.117,0.95,uw,uw61665222,2020-08-28T23:54:12.910Z,"5 km NNW of Winlock, Washington",explosion,2.17,31.61,0.090080483,4,reviewed,uw,uw
2020-08-28T20:46:59.080Z,35.951,-117.6678333,3.84,0.43,ml,13,53,0.0145,0.11,ci,ci39363839,2020-08-28T23:27:17.833Z,"22km E of Little Lake, CA",earthquake,0.24,0.34,0.073,5,reviewed,ci,ci
2020-08-28T20:46:58.480Z,38.1623,-118.007,1.8,0.6,ml,9,166.74,0.033,0.15,nn,nn00770508,2020-08-28T21:17:13.441Z,"26 km SSE of Mina, Nevada",earthquake,,9,,,automatic,nn,nn
2020-08-28T20:43:24.480Z,38.8178329,-122.760498,1.48,1.47,md,26,65,0.01461,0.06,nc,nc73450771,2020-08-28T23:37:03.502Z,"3km W of Cobb, CA",earthquake,0.21,0.35,0.16,8,automatic,nc,nc
2020-08-28T20:43:21.580Z,38.1772,-117.7652,9.4,1.2,ml,16,78.34,0.051,0.09,nn,nn00770505,2020-08-28T20:48:34.869Z,"38 km SE of Mina, Nevada",earthquake,,1.6,,,automatic,nn,nn
2020-08-28T20:42:04.745Z,60.119,-139.7703,1.7,1.9,ml,,,,0.72,ak,ak020b2wobjo,2020-08-28T21:51:21.976Z,"63 km N of Yakutat, Alaska",ice quake,,0.4,,,automatic,ak,ak
2020-08-28T20:39:31.525Z,62.68,-151.5359,0,1.6,ml,,,,0.51,ak,ak020b2wnqgw,2020-08-28T20:55:41.256Z,"44 km WNW of Petersville, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-28T20:31:12.840Z,34.062,-116.4268333,8.09,1.41,ml,41,42,0.03149,0.24,ci,ci39363823,2020-08-28T22:11:42.960Z,"6km S of Yucca Valley, CA",earthquake,0.32,0.71,0.164,27,reviewed,ci,ci
2020-08-28T20:26:12.330Z,44.40666667,-122.7388333,-0.77,1.66,ml,4,197,0.1831,0.09,uw,uw61665202,2020-08-28T23:47:36.150Z,"1 km NNW of Sweet Home, Oregon",explosion,0.65,31.61,0.203387047,3,reviewed,uw,uw
2020-08-28T20:26:10.950Z,38.8388329,-122.8264999,2.05,1.09,md,18,76,0.007023,0.02,nc,nc73450751,2020-08-28T20:41:04.439Z,"9km WNW of Cobb, CA",earthquake,0.23,0.49,0.07,5,automatic,nc,nc
2020-08-28T20:16:00.790Z,40.729,-112.0651667,6.79,0.63,md,9,99,0.06373,0.06,uu,uu60407372,2020-08-28T20:27:57.270Z,"3 km NE of Magna, Utah",earthquake,0.38,1.22,0.279,4,reviewed,uu,uu
2020-08-28T20:15:49.390Z,38.1685,-117.8982,4.5,0.3,ml,10,107.52,0.011,0.06,nn,nn00770502,2020-08-28T20:24:34.825Z,"30 km SE of Mina, Nevada",earthquake,,6.7,,,automatic,nn,nn
2020-08-28T20:13:34.810Z,38.1303,-117.8823,11.1,0.6,ml,12,86.02,0.016,0.02,nn,nn00770500,2020-08-28T20:17:12.923Z,"35 km SE of Mina, Nevada",earthquake,,2.3,,,automatic,nn,nn
2020-08-28T20:13:05.660Z,47.56316667,-121.9661667,67.31,1.6,ml,21,117,0.1769,0.19,uw,uw61665197,2020-08-28T22:35:34.370Z,"3 km ESE of Klahanie, Washington",earthquake,0.63,0.84,0.168591805,10,reviewed,uw,uw
2020-08-28T20:10:31.329Z,-2.3363,136.6877,32.31,4.2,mb,,187,4.471,1.15,us,us7000bek7,2020-08-28T21:01:16.040Z,"Near the north coast of Papua, Indonesia",earthquake,11.8,6,0.146,13,reviewed,us,us
2020-08-28T20:09:56.160Z,35.7155,-117.5371667,7.64,0.63,ml,12,137,0.1114,0.12,ci,ci39363783,2020-08-28T23:48:02.900Z,"13km WSW of Searles Valley, CA",earthquake,0.3,1.1,0.083,7,reviewed,ci,ci
2020-08-28T20:06:58.970Z,33.1361667,-117.154,-0.18,1.4,ml,26,63,0.02992,0.25,ci,ci39363775,2020-08-28T23:22:27.745Z,"1km SE of San Marcos, CA",quarry blast,0.45,31.61,0.196,10,reviewed,ci,ci
2020-08-28T19:56:13.704Z,65.0311,-151.7224,0,1.4,ml,,,,0.9,ak,ak020b2w5wnv,2020-08-28T20:05:01.868Z,"22 km SE of Tanana, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-28T19:50:12.590Z,36.456,-117.9495,9.51,1.49,ml,15,149,0.1066,0.2,ci,ci39363743,2020-08-28T22:11:55.020Z,"18km SE of Lone Pine, CA",earthquake,0.54,1.08,0.185,18,reviewed,ci,ci
2020-08-28T19:46:55.084Z,62.1809,-148.4399,24.3,1.8,ml,,,,0.85,ak,ak020b2w3up0,2020-08-28T19:52:39.064Z,"42 km N of Chickaloon, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-28T19:46:24.070Z,49.06483333,-122.151,-0.84,0.89,md,7,185,0.07944,0.23,uw,uw61665182,2020-08-28T23:40:53.190Z,"7 km E of Abbotsford, Canada",explosion,1.31,31.61,0.178185921,3,reviewed,uw,uw
2020-08-28T19:36:24.750Z,39.291832,-123.338501,7.58,1,md,7,83,0.09074,0.03,nc,nc73450736,2020-08-28T19:58:04.166Z,"12km WNW of Redwood Valley, CA",earthquake,0.45,2.17,0.14,5,automatic,nc,nc
2020-08-28T19:35:36.683Z,60.1399,-152.9039,90.7,1.4,ml,,,,0.39,ak,ak020b2w1gep,2020-08-28T19:47:57.994Z,"68 km WNW of Happy Valley, Alaska",earthquake,,0.4,,,automatic,ak,ak
2020-08-28T19:33:45.910Z,35.6968333,-117.4193333,0.52,-0.03,ml,6,129,0.0805,0.04,ci,ci39363719,2020-08-28T23:42:57.614Z,"8km S of Searles Valley, CA",earthquake,0.22,0.32,0.021,2,reviewed,ci,ci
2020-08-28T19:28:41.320Z,33.32,-116.1603333,7.31,0.31,ml,7,227,0.1319,0.11,ci,ci39363711,2020-08-29T00:02:42.285Z,"17km SSW of Oasis, CA",earthquake,0.54,10.42,0.113,4,reviewed,ci,ci
2020-08-28T19:28:12.139Z,62.7336,-149.6701,54,1.9,ml,,,,0.67,ak,ak020b2vzwhp,2020-08-28T19:40:32.934Z,"38 km NE of Chase, Alaska",earthquake,,0.7,,,automatic,ak,ak
2020-08-28T19:26:34.470Z,38.1243,-118.0368,6.6,0.7,ml,13,158.73,0.042,0.23,nn,nn00770491,2020-08-28T19:30:13.484Z,"30 km SSE of Mina, Nevada",earthquake,,3.1,,,automatic,nn,nn
2020-08-28T19:17:35.480Z,56.356,-158.6863333,0.1,0.88,ml,5,127,,0.1,av,av91118786,2020-08-29T00:28:44.760Z,"11 km WNW of Chignik Lagoon, Alaska",earthquake,0.35,2.54,0.312790079,5,reviewed,av,av
2020-08-28T19:13:11.620Z,34.3458333,-117.0088333,-1.35,1.22,ml,12,76,0.1107,0.18,ci,ci39363687,2020-08-28T23:13:22.682Z,"12km SSW of Lucerne Valley, CA",quarry blast,0.47,31.61,0.125,11,reviewed,ci,ci
2020-08-28T19:13:08.226Z,60.0752,-152.9061,106.9,1.1,ml,,,,0.42,ak,ak020b2vwog6,2020-08-28T19:19:45.675Z,"67 km WNW of Happy Valley, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-08-28T19:12:20.360Z,38.1502,-117.994,7.2,1.1,ml,14,140.38,0.032,0.08,nn,nn00770490,2020-08-28T19:27:33.462Z,"28 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-08-28T19:09:34.080Z,35.871,-117.6773333,4.75,-0.01,ml,9,88,0.0798,0.09,ci,ci39363663,2020-08-29T00:08:15.958Z,"22km ESE of Little Lake, CA",earthquake,0.27,0.41,0.051,4,reviewed,ci,ci
2020-08-28T19:08:44.948Z,60.8902,-149.1225,20.1,1.9,ml,,,,0.5,ak,ak020b2vvop8,2020-08-28T19:14:34.489Z,"6 km SSE of Girdwood, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-08-28T18:52:53.970Z,34.9908333,-118.1866667,0.71,1.4,ml,11,63,0.1169,0.18,ci,ci37298372,2020-08-28T23:05:49.943Z,"7km S of Mojave, CA",quarry blast,0.52,0.92,0.182,15,reviewed,ci,ci
2020-08-28T18:52:22.880Z,34.2325,-117.474,9.19,1.35,ml,47,40,0.007143,0.17,ci,ci39363639,2020-08-28T23:00:33.220Z,"4km SE of Lytle Creek, CA",earthquake,0.19,0.31,0.16,21,reviewed,ci,ci
2020-08-28T18:50:53.260Z,33.602,-116.6595,7.71,0.18,ml,6,210,0.06333,0.11,ci,ci39363647,2020-08-28T23:40:40.859Z,"5km NNE of Anza, CA",earthquake,1.05,0.57,0.066,3,reviewed,ci,ci
2020-08-28T18:45:11.820Z,44.26133333,-122.7121667,-0.77,1.17,ml,9,108,0.1862,0.23,uw,uw61665152,2020-08-28T23:32:23.860Z,"11 km SSE of Holley, Oregon",explosion,0.7,31.61,0.236827257,5,reviewed,uw,uw
2020-08-28T18:44:43.330Z,35.6878333,-117.5208333,8.25,0.18,ml,6,168,0.1118,0.02,ci,ci39363631,2020-08-28T23:57:22.839Z,"14km SW of Searles Valley, CA",earthquake,0.26,0.71,0.086,1,reviewed,ci,ci
2020-08-28T18:38:38.505Z,64.8495,-150.2011,28.6,1.6,ml,,,,0.87,ak,ak020b2vgo2y,2020-08-28T18:43:34.140Z,"26 km SE of Manley Hot Springs, Alaska",earthquake,,0.5,,,automatic,ak,ak
2020-08-28T18:35:35.970Z,35.5975,-117.456,7.33,0.93,ml,9,153,0.01208,0.22,ci,ci39363615,2020-08-28T18:44:10.047Z,"20km SSW of Searles Valley, CA",earthquake,1.27,0.83,0.201,8,reviewed,ci,ci
2020-08-28T18:34:16.280Z,35.9055,-117.7391667,9.14,1.36,ml,18,57,0.07733,0.06,ci,ci39363607,2020-08-28T22:44:24.513Z,"16km ESE of Little Lake, CA",quarry blast,0.12,0.33,0.244,9,reviewed,ci,ci
2020-08-28T18:33:33.690Z,35.614,-117.4395,6.62,2.06,ml,42,48,0.03309,0.13,ci,ci39363599,2020-08-28T22:42:23.460Z,"17km S of Searles Valley, CA",earthquake,0.14,0.31,0.19,26,reviewed,ci,ci
2020-08-28T18:32:28.370Z,38.8380013,-122.807663,1.84,0.66,md,12,58,0.01471,0.03,nc,nc73450706,2020-08-28T18:50:04.905Z,"8km WNW of Cobb, CA",earthquake,0.27,0.67,0.1,2,automatic,nc,nc
2020-08-28T18:28:48.120Z,33.0158333,-116.008,11.1,2.06,ml,84,20,0.1327,0.23,ci,ci39363591,2020-08-28T22:35:12.680Z,"18km SE of Ocotillo Wells, CA",earthquake,0.16,0.43,0.227,25,reviewed,ci,ci
