time,latitude,longitude,depth,mag,magType,place,type,magNst,status,locationSource,magSource
2020-08-28T20:49:02.620Z,46.53833333,-122.9606667,-0.26,1.28,ml,"5 km NNW of Winlock, Washington",explosion,4.0,reviewed,uw,uw
2020-08-28T20:46:59.080Z,35.951,-117.6678333,3.84,0.43,ml,"22km E of Little Lake, CA",earthquake,5.0,reviewed,ci,ci
2020-08-28T20:43:24.480Z,38.8178329,-122.760498,1.48,1.47,md,"3km W of Cobb, CA",earthquake,8.0,automatic,nc,nc
2020-08-28T20:31:12.840Z,34.062,-116.4268333,8.09,1.41,ml,"6km S of Yucca Valley, CA",earthquake,27.0,reviewed,ci,ci
2020-08-28T20:26:12.330Z,44.40666667,-122.7388333,-0.77,1.66,ml,"1 km NNW of Sweet Home, Oregon",explosion,3.0,reviewed,uw,uw
2020-08-28T20:26:10.950Z,38.8388329,-122.8264999,2.05,1.09,md,"9km WNW of Cobb, CA",earthquake,5.0,automatic,nc,nc
2020-08-28T20:16:00.790Z,40.729,-112.0651667,6.79,0.63,md,"3 km NE of Magna, Utah",earthquake,4.0,reviewed,uu,uu
2020-08-28T20:13:05.660Z,47.56316667,-121.9661667,67.31,1.6,ml,"3 km ESE of Klahanie, Washington",earthquake,10.0,reviewed,uw,uw
2020-08-28T20:10:31.329Z,-2.3363,136.6877,32.31,4.2,mb,"Near the north coast of Papua, Indonesia",earthquake,13.0,reviewed,us,us
2020-08-28T20:09:56.160Z,35.7155,-117.5371667,7.64,0.63,ml,"13km WSW of Searles Valley, CA",earthquake,7.0,reviewed,ci,ci
2020-08-28T20:06:58.970Z,33.1361667,-117.154,-0.18,1.4,ml,"1km SE of San Marcos, CA",quarry blast,10.0,reviewed,ci,ci
2020-08-28T19:50:12.590Z,36.456,-117.9495,9.51,1.49,ml,"18km SE of Lone Pine, CA",earthquake,18.0,reviewed,ci,ci
2020-08-28T19:46:24.070Z,49.06483333,-122.151,-0.84,0.89,md,"7 km E of Abbotsford, Canada",explosion,3.0,reviewed,uw,uw
2020-08-28T19:36:24.750Z,39.291832,-123.338501,7.58,1.0,md,"12km WNW of Redwood Valley, CA",earthquake,5.0,automatic,nc,nc
2020-08-28T19:33:45.910Z,35.6968333,-117.4193333,0.52,-0.03,ml,"8km S of Searles Valley, CA",earthquake,2.0,reviewed,ci,ci
2020-08-28T19:28:41.320Z,33.32,-116.1603333,7.31,0.31,ml,"17km SSW of Oasis, CA",earthquake,4.0,reviewed,ci,ci
2020-08-28T19:17:35.480Z,56.356,-158.6863333,0.1,0.88,ml,"11 km WNW of Chignik Lagoon, Alaska",earthquake,5.0,reviewed,av,av
2020-08-28T19:13:11.620Z,34.3458333,-117.0088333,-1.35,1.22,ml,"12km SSW of Lucerne Valley, CA",quarry blast,11.0,reviewed,ci,ci
2020-08-28T19:09:34.080Z,35.871,-117.6773333,4.75,-0.01,ml,"22km ESE of Little Lake, CA",earthquake,4.0,reviewed,ci,ci
2020-08-28T18:52:53.970Z,34.9908333,-118.1866667,0.71,1.4,ml,"7km S of Mojave, CA",quarry blast,15.0,reviewed,ci,ci
2020-08-28T18:52:22.880Z,34.2325,-117.474,9.19,1.35,ml,"4km SE of Lytle Creek, CA",earthquake,21.0,reviewed,ci,ci
2020-08-28T18:50:53.260Z,33.602,-116.6595,7.71,0.18,ml,"5km NNE of Anza, CA",earthquake,3.0,reviewed,ci,ci
2020-08-28T18:45:11.820Z,44.26133333,-122.7121667,-0.77,1.17,ml,"11 km SSE of Holley, Oregon",explosion,5.0,reviewed,uw,uw
2020-08-28T18:44:43.330Z,35.6878333,-117.5208333,8.25,0.18,ml,"14km SW of Searles Valley, CA",earthquake,1.0,reviewed,ci,ci
2020-08-28T18:35:35.970Z,35.5975,-117.456,7.33,0.93,ml,"20km SSW of Searles Valley, CA",earthquake,8.0,reviewed,ci,ci
2020-08-28T18:34:16.280Z,35.9055,-117.7391667,9.14,1.36,ml,"16km ESE of Little Lake, CA",quarry blast,9.0,reviewed,ci,ci
2020-08-28T18:33:33.690Z,35.614,-117.4395,6.62,2.06,ml,"17km S of Searles Valley, CA",earthquake,26.0,reviewed,ci,ci
2020-08-28T18:32:28.370Z,38.8380013,-122.807663,1.84,0.66,md,"8km WNW of Cobb, CA",earthquake,2.0,automatic,nc,nc
2020-08-28T18:28:48.120Z,33.0158333,-116.008,11.1,2.06,ml,"18km SE of Ocotillo Wells, CA",earthquake,25.0,reviewed,ci,ci
2020-08-28T18:22:26.690Z,35.666,-117.4791667,6.81,0.84,ml,"13km SSW of Searles Valley, CA",earthquake,12.0,reviewed,ci,ci
2020-08-28T17:48:38.330Z,32.9295,-116.1958333,7.53,0.73,ml,"24km SSW of Ocotillo Wells, CA",earthquake,7.0,reviewed,ci,ci
2020-08-28T17:36:49.360Z,17.8905,-66.6003,2.0,2.71,md,"13 km S of Ponce, Puerto Rico",earthquake,7.0,reviewed,pr,pr
2020-08-28T17:33:34.880Z,38.8261681,-122.8130035,2.0,1.5,md,"7km NW of The Geysers, CA",earthquake,9.0,automatic,nc,nc
2020-08-28T17:27:01.260Z,47.60433333,-122.6953333,14.51,0.52,ml,"0 km NNE of Erlands Point-Kitsap Lake, Washington",earthquake,2.0,reviewed,uw,uw
2020-08-28T17:21:08.240Z,33.241,-116.6201667,16.84,1.29,ml,"5km SSE of Warner Springs, CA",earthquake,24.0,reviewed,ci,ci
2020-08-28T16:30:02.040Z,38.8081665,-122.8216629,2.28,0.61,md,"7km WNW of The Geysers, CA",earthquake,2.0,automatic,nc,nc
2020-08-28T16:26:41.390Z,40.6783333,-122.5778351,20.74,2.44,md,"6km ESE of French Gulch, CA",earthquake,11.0,automatic,nc,nc
2020-08-28T16:21:28.560Z,36.5145,-81.1048333,1.61,-0.6,md,"1 km NE of Sparta, North Carolina",earthquake,4.0,reviewed,se,se
2020-08-28T16:18:29.850Z,37.2091667,-113.506,10.48,1.18,ml,"8 km N of Washington, Utah",earthquake,3.0,reviewed,uu,uu
2020-08-28T16:16:08.300Z,37.4723333,-118.7953333,7.21,0.94,md,"14km SW of Toms Place, CA",earthquake,12.0,reviewed,nc,nc
2020-08-28T16:15:56.740Z,33.169,-116.1026667,10.55,0.95,ml,"4km NE of Ocotillo Wells, CA",earthquake,8.0,reviewed,ci,ci
2020-08-28T16:15:51.000Z,17.965,-67.0048,10.0,2.35,md,Puerto Rico region,earthquake,4.0,reviewed,pr,pr
2020-08-28T16:15:45.920Z,36.524,-81.0708333,0.13,-0.7,md,"4 km ENE of Sparta, North Carolina",earthquake,4.0,reviewed,se,se
2020-08-28T16:13:10.199Z,38.1487,-117.989,12.2,1.6,ml,"28 km SSE of Mina, Nevada",earthquake,3.0,reviewed,nn,nn
2020-08-28T16:12:51.238Z,38.1492,-117.9902,11.9,1.9,ml,"28 km SSE of Mina, Nevada",earthquake,16.0,reviewed,nn,nn
2020-08-28T16:08:08.069Z,39.7412,-120.6355,6.5,0.5,ml,"3 km SSW of Graeagle, California",earthquake,3.0,reviewed,nn,nn
2020-08-28T16:02:52.640Z,33.8555,-116.784,13.87,1.26,ml,"7km S of Cabazon, CA",earthquake,27.0,reviewed,ci,ci
2020-08-28T16:00:12.910Z,35.7155,-117.513,7.59,0.75,ml,"11km WSW of Searles Valley, CA",earthquake,10.0,reviewed,ci,ci
2020-08-28T15:59:53.080Z,35.6016667,-117.4791667,9.98,0.79,ml,"18km E of Ridgecrest, CA",earthquake,8.0,reviewed,ci,ci
2020-08-28T15:58:49.560Z,37.6426667,-118.9035,4.73,0.26,md,"7km E of Mammoth Lakes, CA",earthquake,10.0,reviewed,nc,nc
2020-08-28T15:58:40.850Z,37.6498333,-118.8798333,-0.22,-0.3,md,"9km E of Mammoth Lakes, CA",earthquake,6.0,reviewed,nc,nc
2020-08-28T15:56:12.431Z,38.1199,-118.0427,6.5,1.9,ml,"30 km S of Mina, Nevada",earthquake,12.0,reviewed,nn,nn
2020-08-28T15:54:41.940Z,38.8250008,-122.7975006,2.32,0.62,md,"6km NW of The Geysers, CA",earthquake,2.0,automatic,nc,nc
2020-08-28T15:53:08.040Z,36.5186667,-81.0735,0.08,-0.13,md,"4 km ENE of Sparta, North Carolina",earthquake,4.0,reviewed,se,se
2020-08-28T15:47:06.003Z,-36.9168,177.1947,10.0,5.5,mww,"115 km NE of Maketu, New Zealand",earthquake,10.0,reviewed,us,us
2020-08-28T15:44:40.200Z,53.863,-166.764,10.69,0.56,ml,"14 km WSW of Dutch Harbor, Alaska",earthquake,6.0,reviewed,av,av
2020-08-28T15:31:21.250Z,37.6388333,-118.8408333,7.3,0.09,md,"12km E of Mammoth Lakes, CA",earthquake,10.0,reviewed,nc,nc
2020-08-28T15:26:28.710Z,35.6453333,-117.4643333,6.62,1.14,ml,"15km SSW of Searles Valley, CA",earthquake,17.0,reviewed,ci,ci
2020-08-28T15:20:39.328Z,38.1641,-117.8604,4.5,1.7,ml,"33 km SE of Mina, Nevada",earthquake,14.0,reviewed,nn,nn
2020-08-28T15:16:03.770Z,19.2001667,-155.3934937,31.69000053,1.80999994,md,"8 km E of Pāhala, Hawaii",earthquake,5.0,automatic,hv,hv
2020-08-28T15:16:00.713Z,55.4273,162.7837,32.48,4.6,mb,"91 km SSE of Ust’-Kamchatsk Staryy, Russia",earthquake,135.0,reviewed,us,us
2020-08-28T15:14:15.550Z,39.3656654,-123.2136688,10.99,1.16,md,"11km N of Redwood Valley, CA",earthquake,4.0,automatic,nc,nc
2020-08-28T15:11:11.760Z,33.4131667,-117.9836667,5.86,1.94,ml,"23km SSW of Newport Beach, CA",earthquake,56.0,reviewed,ci,ci
2020-08-28T15:10:11.530Z,33.4686667,-116.436,6.94,0.06,ml,"24km ESE of Anza, CA",earthquake,4.0,reviewed,ci,ci
2020-08-28T15:04:41.329Z,36.02966667,-97.25433333,6.56,1.76,ml,"8 km NNW of Coyle, Oklahoma",earthquake,30.0,reviewed,ok,ok
2020-08-28T14:44:03.960Z,36.5508347,-121.0961685,9.46,2.32,md,"5km ENE of Pinnacles, CA",earthquake,27.0,automatic,nc,nc
2020-08-28T14:41:33.960Z,19.13150024,-155.4974976,36.27999878,1.83000004,md,"8 km SSW of Pāhala, Hawaii",earthquake,5.0,automatic,hv,hv
2020-08-28T14:39:06.000Z,37.643,-118.9183333,4.24,0.11,md,"5km E of Mammoth Lakes, CA",earthquake,14.0,reviewed,nc,nc
2020-08-28T14:32:04.560Z,48.24016667,-121.453,8.81,0.24,ml,"11 km E of Darrington, Washington",earthquake,3.0,reviewed,uw,uw
2020-08-28T14:30:57.990Z,37.6346667,-118.9125,5.48,0.16,md,"6km E of Mammoth Lakes, CA",earthquake,12.0,reviewed,nc,nc
2020-08-28T14:30:32.420Z,37.6365,-118.9138333,4.98,0.25,md,"6km E of Mammoth Lakes, CA",earthquake,11.0,reviewed,nc,nc
2020-08-28T14:29:33.410Z,37.6376667,-118.91,5.49,0.26,md,"6km E of Mammoth Lakes, CA",earthquake,15.0,reviewed,nc,nc
2020-08-28T14:28:09.950Z,37.6356667,-118.9128333,4.97,0.4,md,"6km E of Mammoth Lakes, CA",earthquake,18.0,reviewed,nc,nc
2020-08-28T14:09:25.510Z,19.22283363,-155.4086609,32.45999908,2.0,md,"7 km ENE of Pāhala, Hawaii",earthquake,9.0,automatic,hv,hv
2020-08-28T13:30:39.510Z,38.0415,-118.7578333,3.16,1.47,md,"29km SE of Bodie, CA",earthquake,23.0,reviewed,nc,nc
2020-08-28T13:19:20.080Z,19.20299911,-155.3743286,29.61000061,1.96000004,md,"10 km E of Pāhala, Hawaii",earthquake,6.0,automatic,hv,hv
2020-08-28T13:19:14.240Z,53.86133333,-166.7281667,7.43,1.69,ml,"12 km WSW of Dutch Harbor, Alaska",earthquake,13.0,reviewed,av,av
2020-08-28T13:11:34.720Z,51.86333333,-177.8303333,2.44,1.48,ml,"82 km W of Adak, Alaska",earthquake,5.0,reviewed,av,av
2020-08-28T13:07:04.050Z,51.861,-177.8276667,3.53,1.52,ml,"82 km W of Adak, Alaska",earthquake,4.0,reviewed,av,av
2020-08-28T13:04:46.030Z,39.3578339,-123.246666,6.38,1.63,md,"11km NNW of Redwood Valley, CA",earthquake,7.0,automatic,nc,nc
2020-08-28T13:00:36.990Z,38.8203316,-122.8444977,2.07,0.9,md,"9km WNW of The Geysers, CA",earthquake,4.0,automatic,nc,nc
2020-08-28T13:00:12.910Z,48.21483333,-121.5203333,1.39,0.36,md,"7 km SE of Darrington, Washington",earthquake,4.0,reviewed,uw,uw
2020-08-28T12:52:45.380Z,35.71,-117.5023333,7.23,0.09,ml,"11km SW of Searles Valley, CA",earthquake,2.0,reviewed,ci,ci
2020-08-28T12:51:08.040Z,33.5725,-116.6451667,14.86,0.42,ml,"3km NE of Anza, CA",earthquake,6.0,reviewed,ci,ci
2020-08-28T12:48:29.890Z,38.8115005,-122.8209991,3.19,1.09,md,"7km NW of The Geysers, CA",earthquake,3.0,automatic,nc,nc
2020-08-28T12:45:45.610Z,37.725,-113.2051667,-0.19,1.21,ml,"13 km WNW of Cedar City, Utah",earthquake,3.0,reviewed,uu,uu
2020-08-28T12:44:56.441Z,38.1729,-117.8965,11.3,2.0,ml,"30 km SE of Mina, Nevada",earthquake,17.0,reviewed,nn,nn
2020-08-28T12:39:15.726Z,-24.2984,-67.2106,163.2,4.4,mb,"90 km W of San Antonio de los Cobres, Argentina",earthquake,5.0,reviewed,us,us
2020-08-28T12:39:00.020Z,46.19716667,-122.183,0.91,0.71,ml,"37 km NNE of Amboy, Washington",earthquake,8.0,reviewed,uw,uw
2020-08-28T12:24:16.960Z,39.3608322,-123.2608337,2.64,1.95,md,"10km ESE of Willits, CA",earthquake,12.0,automatic,nc,nc
2020-08-28T12:15:00.200Z,55.13583333,-162.3,8.01,0.25,ml,"8 km N of King Cove, Alaska",earthquake,4.0,reviewed,av,av
2020-08-28T12:07:07.980Z,33.5026667,-116.4783333,12.67,0.91,ml,"19km ESE of Anza, CA",earthquake,24.0,reviewed,ci,ci
2020-08-28T11:48:50.575Z,38.1884,-117.8827,4.9,1.7,ml,"29 km SE of Mina, Nevada",earthquake,15.0,reviewed,nn,nn
2020-08-28T11:42:05.280Z,35.63,-117.3958333,6.41,1.0,ml,"15km S of Trona, CA",earthquake,12.0,reviewed,ci,ci
2020-08-28T11:40:44.350Z,36.02883333,-97.25216667,6.59,1.57,ml,"8 km NNW of Coyle, Oklahoma",earthquake,37.0,reviewed,ok,ok
2020-08-28T11:26:03.310Z,32.5673333,-115.6891667,15.01,3.65,ml,"10km W of Progreso, B.C., MX",earthquake,119.0,reviewed,ci,ci
2020-08-28T10:38:58.800Z,19.44599915,-155.4511719,-2.859999895,2.11,ml,"22 km W of Volcano, Hawaii",earthquake,3.0,automatic,hv,hv
2020-08-28T10:38:53.750Z,19.4235,-155.2746667,0.35,1.23,md,"4 km WSW of Volcano, Hawaii",earthquake,12.0,reviewed,hv,hv
2020-08-28T10:18:51.070Z,38.1675,-117.8451,8.0,2.6,ml,"33 km SE of Mina, Nevada",earthquake,18.0,reviewed,nn,nn
2020-08-28T10:17:49.442Z,-14.94,167.7066,38.15,4.9,mb,"69 km E of Port-Olry, Vanuatu",earthquake,82.0,reviewed,us,us
2020-08-28T10:09:45.900Z,47.18766667,-122.2086667,15.36,1.22,ml,"2 km NW of Bonney Lake, Washington",earthquake,23.0,reviewed,uw,uw
2020-08-28T10:07:47.990Z,35.8771667,-117.6995,3.02,0.58,ml,"20km ESE of Little Lake, CA",earthquake,5.0,reviewed,ci,ci
2020-08-28T09:54:09.470Z,36.4843333,-81.1246667,1.55,-0.55,md,"2 km S of Sparta, North Carolina",earthquake,4.0,reviewed,se,se
2020-08-28T09:51:51.752Z,38.1673,-117.8941,11.0,0.5,ml,"31 km SE of Mina, Nevada",earthquake,7.0,reviewed,nn,nn
2020-08-28T09:35:23.300Z,35.8705,-117.6861667,5.71,0.56,ml,"21km ESE of Little Lake, CA",earthquake,5.0,reviewed,ci,ci
2020-08-28T09:28:16.490Z,39.3718338,-123.2683334,1.55,1.18,md,"9km ESE of Willits, CA",earthquake,3.0,automatic,nc,nc
2020-08-28T09:27:46.040Z,19.18333333,-155.4755,35.31,2.61,md,"2 km S of Pāhala, Hawaii",earthquake,24.0,reviewed,hv,hv
2020-08-28T09:15:34.810Z,36.4588333,-117.968,7.91,1.46,ml,"17km SSE of Lone Pine, CA",earthquake,18.0,reviewed,ci,ci
2020-08-28T09:01:47.430Z,38.7988319,-122.7720032,3.98,0.56,md,"3km NNW of The Geysers, CA",earthquake,1.0,automatic,nc,nc
2020-08-28T09:01:04.140Z,35.9138333,-117.6758333,3.92,0.84,ml,"21km E of Little Lake, CA",earthquake,10.0,reviewed,ci,ci
2020-08-28T08:59:57.880Z,36.4733333,-81.0665,2.12,-0.67,md,"6 km SE of Sparta, North Carolina",earthquake,4.0,reviewed,se,se
2020-08-28T08:56:00.720Z,48.5215,-123.1516667,29.55,1.67,ml,"10 km W of Friday Harbor, Washington",earthquake,12.0,reviewed,uw,uw
2020-08-28T08:47:00.300Z,38.8373337,-122.829834,2.08,0.39,md,"9km NW of The Geysers, CA",earthquake,2.0,automatic,nc,nc
2020-08-28T08:44:22.540Z,37.9756667,-118.8078333,8.77,1.19,md,"27km E of Lee Vining, CA",earthquake,14.0,reviewed,nc,nc
2020-08-28T08:39:57.800Z,36.0368333,-117.7743333,1.76,1.37,ml,"16km E of Coso Junction, CA",earthquake,18.0,reviewed,ci,ci
2020-08-28T08:37:08.080Z,19.20233345,-155.4166718,34.68999863,1.87,md,"6 km E of Pāhala, Hawaii",earthquake,5.0,automatic,hv,hv
2020-08-28T08:33:33.130Z,46.19216667,-122.1648333,-0.84,-0.21,mh,"38 km NE of Amboy, Washington",earthquake,0.0,reviewed,uw,uw
2020-08-28T08:28:08.167Z,-5.9895,153.6549,10.0,4.8,mb,"205 km W of Panguna, Papua New Guinea",earthquake,37.0,reviewed,us,us
2020-08-28T08:27:45.870Z,39.3461667,-123.2828333,2.84,1.42,md,"9km SE of Willits, CA",earthquake,8.0,reviewed,nc,nc
2020-08-28T08:26:52.640Z,43.79666667,-122.4143333,4.67,0.84,ml,"6 km NE of Oakridge, Oregon",earthquake,3.0,reviewed,uw,uw
2020-08-28T08:19:52.020Z,38.7879982,-122.7248306,1.53,1.35,md,"3km ENE of The Geysers, CA",earthquake,7.0,automatic,nc,nc
2020-08-28T08:03:10.810Z,36.0363333,-117.7751667,1.95,0.64,ml,"16km E of Coso Junction, CA",earthquake,4.0,reviewed,ci,ci
2020-08-28T07:58:51.938Z,33.36,72.7529,28.7,4.5,mb,"38 km SW of Rawalpindi, Pakistan",earthquake,24.0,reviewed,us,us
2020-08-28T07:50:41.770Z,51.84966667,-177.8306667,4.06,1.06,ml,"82 km W of Adak, Alaska",earthquake,4.0,reviewed,av,av
2020-08-28T07:47:03.720Z,33.2315,-116.737,11.21,0.88,ml,"3km ESE of Lake Henshaw, CA",earthquake,20.0,reviewed,ci,ci
2020-08-28T07:26:24.190Z,19.48616667,-155.6626667,3.41,2.46,ml,"21 km E of Honaunau-Napoopoo, Hawaii",earthquake,23.0,reviewed,hv,hv
2020-08-28T07:19:21.440Z,37.6363333,-118.8465,6.89,0.3,md,"12km E of Mammoth Lakes, CA",earthquake,12.0,reviewed,nc,nc
2020-08-28T07:17:58.000Z,35.6553333,-117.5265,10.77,0.81,ml,"14km ENE of Ridgecrest, CA",earthquake,7.0,reviewed,ci,ci
2020-08-28T07:05:06.655Z,44.5696,-115.1969,10.0,2.5,ml,"44 km NNW of Stanley, Idaho",earthquake,44.0,reviewed,us,us
2020-08-28T06:59:55.160Z,36.0373333,-117.7751667,1.7,1.31,ml,"16km E of Coso Junction, CA",earthquake,15.0,reviewed,ci,ci
2020-08-28T06:48:20.288Z,38.1781,-117.8667,5.4,1.7,ml,"31 km SE of Mina, Nevada",earthquake,15.0,reviewed,nn,nn
2020-08-28T06:43:31.640Z,17.9313,-66.9708,15.0,3.02,md,"8 km SW of Guánica, Puerto Rico",earthquake,15.0,reviewed,pr,pr
2020-08-28T06:36:36.620Z,19.47883333,-155.6626667,1.17,2.47,ml,"21 km E of Honaunau-Napoopoo, Hawaii",earthquake,23.0,reviewed,hv,hv
2020-08-28T06:16:33.520Z,19.2021,-64.408,35.0,3.62,md,"104 km NNE of Cruz Bay, U.S. Virgin Islands",earthquake,9.0,reviewed,pr,pr
2020-08-28T06:11:46.290Z,36.4363333,-117.9378333,8.75,1.71,ml,"18km NNE of Olancha, CA",earthquake,23.0,reviewed,ci,ci
2020-08-28T06:11:41.640Z,38.0395,-118.731,0.63,1.4,md,"31km SE of Bodie, CA",earthquake,23.0,reviewed,nc,nc
2020-08-28T06:07:08.770Z,19.20233345,-155.386673,32.36000061,1.83000004,md,"9 km E of Pāhala, Hawaii",earthquake,6.0,automatic,hv,hv
2020-08-28T05:58:19.070Z,19.4078331,-155.283493,-0.090000004,1.79999995,md,"6 km SW of Volcano, Hawaii",earthquake,9.0,automatic,hv,hv
2020-08-28T05:58:18.480Z,19.40816689,-155.2785034,0.239999995,1.79999995,md,"6 km SW of Volcano, Hawaii",earthquake,17.0,automatic,hv,hv
2020-08-28T05:57:22.070Z,38.8144989,-122.7608337,1.76,1.07,md,"3km WSW of Cobb, CA",earthquake,3.0,automatic,nc,nc
2020-08-28T05:42:51.620Z,35.8668327,-119.7948303,4.73,1.87,md,"22km SE of Kettleman City, CA",earthquake,2.0,automatic,nc,nc
2020-08-28T05:42:49.910Z,38.8218346,-122.7659988,1.87,0.4,md,"4km W of Cobb, CA",earthquake,2.0,automatic,nc,nc
